Month,Total_Revenue,Total_Quantity,Avg_Order_Value
2010-01-01,46376.49000000003,24215.0,383.27677685950437
2010-02-01,47316.52999999987,31142.0,345.3761313868603
2010-03-01,23921.710000000097,11839.0,419.67912280701927
2010-05-01,31771.600000000166,16449.0,365.19080459770305
2010-06-01,31215.64000000016,16291.0,332.0812765957464
2010-07-01,53795.31000000011,19444.0,757.6804225352128
2010-08-01,39248.820000000094,21573.0,353.5929729729738
2010-09-01,38231.90000000002,17415.0,390.1214285714288
2010-10-01,33650.28000000004,16051.0,467.3650000000006
2010-12-01,17305.770000000048,10599.0,402.4597674418616
2011-01-01,239994.37999999902,146352.0,408.15370748299154
2011-02-01,209542.2199999988,121586.0,440.21474789915715
2011-03-01,261508.4399999982,136034.0,564.8130453563676
2011-04-01,329347.21999999846,192661.0,523.6044833068338
2011-05-01,322262.2099999994,200342.0,506.7015880503135
2011-06-01,305544.20000000024,182086.0,432.17001414427193
2011-07-01,322993.67000000074,186413.0,460.1049430199441
2011-08-01,257498.62999999773,152236.0,390.14943939393595
2011-09-01,421984.1800000027,231731.0,750.8615302491152
2011-10-01,291455.8999999986,147968.0,526.0936823104669
2011-11-01,345332.0899999995,198825.0,549.0176311605716
2011-12-01,205190.79999999874,124365.0,442.2215517241352
